Province,1/4/21,2/4/21,3/4/21,4/4/21,5/4/21,6/4/21,7/4/21,8/4/21,9/4/21,10/4/21,11/4/21,12/4/21,13/4/21,14/4/21,15/4/21,16/4/21,17/4/21,18/4/21,19/4/21,20/4/21,21/4/21,22/4/21,23/4/21,24/4/21,25/4/21,26/4/21,27/4/21,28/4/21,29/4/21,30/4/21,1/5/21,2/5/21,3/5/21,4/5/21,5/5/21,6/5/21,7/5/21,8/5/21,9/5/21,Total
กรุงเทพมหานคร,7,20,32,35,46,156,216,95,266,185,236,137,194,351,409,312,279,346,293,350,365,446,740,1582,1078,901,993,830,689,417,739,539,675,562,789,739,869,1112,980,19010
เชียงใหม่,0,0,0,0,0,2,2,6,16,168,189,246,251,319,278,272,140,164,197,116,134,99,237,151,163,84,60,55,89,66,61,55,55,41,40,23,33,21,26,3859
ชลบุรี,0,0,1,7,7,18,11,14,46,101,180,92,97,72,98,110,99,229,98,82,80,97,125,119,75,104,80,108,112,131,126,89,153,91,110,76,89,72,96,3295
นนทบุรี,0,3,4,2,4,1,8,18,6,1,19,2,0,9,35,61,349,140,39,23,69,118,29,96,115,97,149,71,28,50,44,276,277,168,249,273,201,217,221,3472
สมุทรปราการ,3,5,4,9,9,20,30,23,50,75,48,83,49,44,23,40,27,64,82,60,39,39,79,84,77,110,93,161,151,138,142,145,161,201,226,143,165,114,108,3124
สมุทรสาคร,11,14,12,13,4,7,12,9,9,7,8,25,34,23,46,48,37,18,32,43,54,30,48,57,52,56,61,59,39,48,46,52,45,55,51,65,69,77,95,1471
ประจวบคีรีขันธ์,0,0,0,0,2,0,6,14,30,40,49,52,73,161,98,100,58,66,23,41,47,37,44,23,20,18,21,11,30,11,8,6,6,10,13,22,27,100,28,1295
ปทุมธานี,0,0,0,2,2,2,3,8,11,11,26,36,21,2,38,26,26,24,19,57,24,31,41,59,56,0,93,57,81,35,64,62,51,25,50,31,39,93,31,1237
สุราษฎร์ธานี,0,0,0,6,0,0,0,0,4,4,3,7,4,7,13,11,23,38,42,47,22,41,38,46,54,61,62,40,46,34,52,48,69,35,65,53,60,35,50,1120
สงขลา,0,0,0,0,0,0,1,2,5,10,6,4,10,17,18,89,17,25,32,29,41,42,17,34,51,38,23,52,46,20,27,31,27,10,36,14,23,19,15,831
นครปฐม,0,0,5,3,0,1,1,6,1,15,11,17,10,20,17,27,18,26,38,35,19,21,24,13,16,48,28,38,30,34,29,35,23,50,11,47,29,28,22,796
นครราชสีมา,0,0,0,0,0,0,0,0,6,10,0,1,67,1,0,14,6,51,35,47,35,0,69,16,54,22,33,17,10,15,21,34,21,17,18,12,10,15,20,677
ระยอง,0,0,0,0,0,0,1,1,6,10,9,31,25,11,23,11,10,35,19,35,64,18,35,31,31,21,18,37,17,15,9,18,12,24,22,13,13,19,11,655
พระนครศรีอยุธยา,0,0,0,1,0,1,1,2,0,3,5,18,5,11,25,19,13,7,42,18,21,25,31,24,14,9,30,27,24,25,30,24,19,23,29,35,32,29,17,639
นครศรีธรรมราช,0,0,0,0,0,0,0,1,0,3,1,1,6,3,1,10,6,12,11,11,13,21,17,20,55,23,24,16,22,18,46,18,48,28,32,31,27,24,14,563
นราธิวาส,0,0,1,1,94,30,1,146,0,18,3,1,3,8,19,5,18,18,15,17,20,23,26,4,6,2,3,5,2,6,2,1,1,1,2,10,7,1,2,522
เพชรบุรี,0,0,0,0,0,0,0,0,4,4,9,13,0,10,29,17,20,23,35,43,25,21,22,26,17,32,29,19,9,9,7,7,21,8,6,12,13,12,10,512
ภูเก็ต,0,0,0,0,0,0,1,3,6,4,29,16,8,26,14,30,24,25,18,20,18,9,22,11,22,21,13,13,13,17,12,20,15,25,12,18,5,10,12,512
เชียงราย,0,0,0,0,0,0,0,1,2,10,6,10,0,0,0,77,17,17,17,17,21,16,17,19,34,19,7,20,11,26,8,23,14,26,3,17,3,7,5,470
ฉะเชิงเทรา,0,0,0,0,0,0,0,1,2,6,2,10,7,16,7,9,11,29,15,9,23,26,9,9,11,8,18,21,11,29,17,37,5,2,17,35,12,27,7,448
