Province1,Province2,Province3,Province4,Province
อานาจเจรญิ,อานาจเจริญ,อํานําจเจรญิ,,อำนาจเจริญ
อา่งทอง,อ่างทอง,อํา่งทอง,,อ่างทอง
กรงุเทพมหานคร,กรุงเทพมหานคร,กรงุเทพมหํานคร,,กรุงเทพมหานคร
บงึกาฬ,บงกาฬ,บงึกําฬ,,บึงกาฬ
บรุรีมัย,บรีรัมย,,,บุรีรัมย์
ฉะเชงิเทรา,ฉะเชิงเทรา,ฉะเชงิเทรํา,,ฉะเชิงเทรา
ชยันาท,ชัยนาท,ชยันําท,,ชัยนาท
ชยัภมู,ชัยภม,,,ชัยภูมิ
จนัทบรุ,จนทบรี,จนัทบร,,จันทบุรี
เชยีงใหม,เชียงใหม,เชียงใหม่่,,เชียงใหม่
เชยีงราย,เชียงราย,เชยีงรําย,,เชียงราย
ชลบรุ,ชลบุรี,ชลบร,,ชลบุรี
ชุมพร,ชุมพร,,,ชุมพร
กาฬสนิธ,กาฬสนธ,กําฬสนิธ,,กาฬสินธุ์
กาแพงเพชร,กาแพงเพชร,กําแพงเพชร,,กำแพงเพชร
กาญจนบรุ,กาญจนบรี,กําญจนบรุ,กาญจนบร,กาญจนบุรี
ขอนแกน่,ขอนแกน,,,ขอนแก่น
กระบ,กระบี่ี่,,,กระบี่
ลาปาง,ลาปาง,ลําปําง,,ลำปาง
ลาพนู,ลาพน,ลําพนู,,ลำพูน
เลย,เลย,,,เลย
ลพบรุ,ลพบรี,ลพบร,,ลพบุรี
แมฮ่อ่งสอน,แม่ฮ่องสอน,,,แม่ฮ่องสอน
มหาสารคาม,มหาสารคาม,มหําสํารคําม,,มหาสารคาม
มกุดาหาร,มกดาหาร,มกุดําหําร,,มุกดาหาร
นครนายก,นครนายก,นครนํายก,,นครนายก
นครปฐม,นครปฐม,,,นครปฐม
นครพนม,นครพนม,,,นครพนม
นครราชสมีา,นครราชสีมา,นครรําชสมีํา,,นครราชสีมา
นครสวรรค,นครสวรรค์์,,,นครสวรรค์
นครศรธีรรมราช,นครศรีธรรมราช,นครศรธีรรมรําช,,นครศรีธรรมราช
นา่น,นาน,นํา่น,,น่าน
นราธวิาส,นราธวาส,นรําธวิําส,,นราธิวาส
หนองบวัลาภ,หนองบวลาภ,หนองบวัลําภ,,หนองบัวลำภู
หนองคาย,หนองคาย,หนองคําย,,หนองคาย
นนทบรุ,นนทบรี,นนทบร,,นนทบุรี
ปทมุธาน,ปทมธาน,ปทมุธําน,,ปทุมธานี
ปตัตาน,ปตตาน,ปตัตําน,,ปัตตานี
พงังา,พงงา,พงังํา,,พังงา
พทัลงุ,พทลง,,,พัทลุง
พะเยา,พะเยา,พะเยํา,,พะเยา
เพชรบรูณ,เพชรบรณ,,,เพชรบูรณ์
เพชรบรุ,เพชรบรี,เพชรบร,,เพชรบุรี
พจิติร,พจตร,,,พิจิตร
พษิณุโลก,พษณโลก,,,พิษณุโลก
พระนครศรอียธุยา,พระนครศรีอยธยา,พระนครศรอียธุยํา,พระนครศรอียธยา,พระนครศรีอยุธยา
แพร,แพร่่,,,แพร่
ภเูก็ต,ภเกต,,,ภูเก็ต
ปราจนีบรุ,ปราจนบรี,ปรําจนีบรุ,ปราจนีบร,ปราจีนบุรี
ประจวบครีขีนัธ,ประจวบครีขนธ,,,ประจวบคีรีขันธ์
ระนอง,ระนอง,,,ระนอง
ราชบรุ,ราชบรี,รําชบรุ,ราชบร,ราชบุรี
ระยอง,ระยอง,,,ระยอง
รอ้ยเอ็ด,ร้อยเอ็ด,,,ร้อยเอ็ด
สระแกว้,สระแก้ว,,,สระแก้ว
สกลนคร,สกลนคร,,,สกลนคร
สมทุรปราการ,สมุทรปราการ,สมทุรปรํากําร,,สมุทรปราการ
สมทุรสาคร,สมุทรสาคร,สมทุรสําคร,,สมุทรสาคร
สมทุรสงคราม,สมุทรสงคราม,สมทุรสงครําม,,สมุทรสงคราม
สระบรุ,สระบรี,สระบร,,สระบุรี
สตลู,สตล,,,สตูล
ศรสีะเกษ,ศรีสะเกษ,,,ศรีสะเกษ
สงิหบ์รุ,สงหบรี,,,สิงห์บุรี
สงขลา,สงขลา,สงขลํา,,สงขลา
สโุขทยั,สโขทย,,,สุโขทัย
สพุรรณบรุ,สพรรณบรี,สพุรรณบร,,สุพรรณบุรี
สรุาษฎรธ์าน,สราษฎร์ธาน,สรุําษฎรธ์ําน,,สุราษฎร์ธานี
สรุนิทร,สรินทร์,,,สุรินทร์
ตาก,ตาก,ตําก,,ตาก
ตรงั,ตรัง,,,ตรัง
ตราด,ตราด,ตรําด,,ตราด
อบุลราชธาน,อุบลราชธาน,อุบลราชธานีี,อบุลรําชธําน,อุบลราชธานี
อดุรธาน,อุดรธาน,อุดรธานีี,อดุรธําน,อุดรธานี
อทุยัธาน,อุทยธาน,อทุยัธําน,,อุทัยธานี
อตุรดติถ,อุตรดตถ,,,อุตรดิตถ์
ยะลา,ยะลา,ยะลํา,,ยะลา
ยโสธร,ยโสธร,,,ยโสธร
